"Go back to product details","Go back to product details"
"Customize and Add to Cart","Customize and Add to Cart"
"Your Customization","Your Customization"
Availability,Availability
"In stock","In stock"
"Out of stock","Out of stock"
Summary,Summary
"%1 x %2","%1 x %2"
"Customize: %1","Customize: %1"
"Select the product options","Select the product options"
"No options of this product are available.","No options of this product are available."
"Compare Products","Compare Products"
Compare,Compare
"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Cart","Add to Cart"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Not Available","Not Available"
"Learn More","Learn More"
...,...
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"Shop By","Shop By"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Items","%1 Items"
Show:,Show:
"per page","per page"
"Sort By:","Sort By:"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"View as","View as"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Buy %1 for: ","Buy %1 for: "
"Click for price","Click for price"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Buy %1 for %2 each"
Qty:,Qty:
Qty,Qty
"Quick Overview","Quick Overview"
Loading...,Loading...
"Email to a Friend","Email to a Friend"
"See more","See more"
"Popular Books","Popular Books"
"Deals of the week","Deals of the week"
"Update Cart","Update Cart"
"Shopping Cart","Shopping Cart"
"* Required Fields","* Required Fields"
Name,Name
Email,Email
"Phone Number","Phone Number"
"What’s on your mind?","What’s on your mind?"
Submit,Submit
"Send Message","Send Message"
Address:,Address:
Phone:,Phone:
Fax:,Fax:
Email:,Email:
"Registered Customers","Registered Customers"
"If you have an account, sign in with your email address.","If you have an account, sign in with your email address."
Password,Password
Login,Login
"Forgot Your Password?","Forgot Your Password?"
"New Customers","New Customers"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creating an account has many benefits: check out faster, keep more than one address, track orders and more."
"Create an Account","Create an Account"
"Your Currency:","Your Currency:"
"Now Shopping by","Now Shopping by"
Previous,Previous
Remove,Remove
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Average Customer Rating:","Average Customer Rating:"
"Your Review","Your Review"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","Back to My Reviews"
"Recently Ordered","Recently Ordered"
"Last Ordered Items","Last Ordered Items"
"View All","View All"
Search,Search
"Search products here...","Search products here..."
"Select Store","Select Store"
"Your Language:","Your Language:"
Top,Top
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Toggle Nav","Toggle Nav"
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
